generation,evaluated,survivors,best_fitness,mean_fitness,median_fitness,food_eaten,fish_eaten,size_mean,speed_mean,vision_mean,metabolism_mean
139,500,500,4764.9995,2128.9497,1834.9998,209895,0,29.1803,47.3364,96.9498,0.1078
140,500,500,4674.9995,2134.5098,1847.4998,210451,0,29.1980,47.3554,96.9133,0.1077
141,500,500,5034.9995,2130.1296,1847.4998,210013,0,29.2141,47.4320,97.1341,0.1080
142,500,500,4859.9995,2128.9097,1844.9998,209891,0,29.1985,47.7238,97.1178,0.1077
143,500,500,4839.9995,2128.6099,1839.9998,209861,0,29.2116,47.7413,96.8423,0.1076
144,500,500,4809.9995,2128.0999,1844.9998,209810,0,29.1975,47.6883,96.8207,0.1074
145,500,500,5004.9995,2125.6296,1839.9998,209563,0,29.2420,47.5196,96.6488,0.1074
146,500,500,4604.9995,2128.1997,1829.9998,209820,0,29.2567,47.4786,96.6386,0.1072
147,500,500,4744.9995,2129.0098,1839.9998,209901,0,29.2903,48.0261,96.8161,0.1073
148,500,500,5044.9995,2134.7397,1844.9998,210474,0,29.2975,48.0542,96.7147,0.1073
149,500,500,4694.9995,2137.2898,1834.9998,210729,0,29.3488,48.2732,96.9397,0.1071
150,500,500,4779.9995,2136.0598,1844.9998,210606,0,29.3488,47.8031,97.1674,0.1072
151,500,500,4554.9995,2129.3398,1852.4998,209934,0,29.3803,47.9015,97.0378,0.1072
152,500,500,4739.9995,2138.1099,1849.9998,210811,0,29.3412,47.8264,96.8398,0.1068
153,500,500,5014.9995,2135.5098,1839.9998,210551,0,29.2979,47.7680,97.0392,0.1064
154,500,500,5144.9995,2133.5999,1849.9998,210360,0,29.2834,47.5342,96.8529,0.1061
155,500,500,4499.9995,2139.5898,1829.9998,210959,0,29.2993,47.9835,96.8070,0.1065
156,500,500,4619.9995,2131.2498,1834.9998,210125,0,29.2572,48.1527,97.1286,0.1066
157,500,500,4734.9995,2128.4397,1844.9998,209844,0,29.2714,48.2415,97.4597,0.1066
158,500,500,5014.9995,2128.4197,1824.9998,209842,0,29.2296,48.1018,97.4507,0.1067
159,500,500,4944.9995,2130.0698,1849.9998,210007,0,29.2063,48.0816,97.4959,0.1065
160,500,500,4809.9995,2128.4197,1844.9998,209842,0,29.2105,48.3805,97.3444,0.1066
161,500,500,4814.9995,2133.5098,1844.9998,210351,0,29.2737,48.6616,97.2513,0.1066
162,500,500,4679.9995,2124.8398,1857.4998,209484,0,29.2303,48.5463,97.7074,0.1067
163,500,500,4734.9995,2137.6897,1852.4998,210769,0,29.2898,48.4767,98.0017,0.1067
